lugar_objetivo,majortom:code_10km,lat,lon,dist_deg
salar_uyuni,0010km_0225D_0704L,-20.163664,-67.33907,0.1473875
salar_uyuni,0010km_0223D_0706L,-19.984095,-67.44073,0.15516074
salar_uyuni,0010km_0223D_0707L,-19.98437,-67.536476,0.15814036
tokio,0010km_0397U_1263R,35.70443,139.65495,0.039660893
tokio,0010km_0397U_1264R,35.704536,139.7657,0.07551745
tokio,0010km_0396U_1264R,35.61497,139.63658,0.09269314
tokio,0010km_0396U_1265R,35.614548,139.74722,0.093278594
tokio,0010km_0398U_1262R,35.79435,139.71585,0.107597075
tokio,0010km_0398U_1261R,35.794746,139.60564,0.13595325
tokio,0010km_0397U_1262R,35.704765,139.54419,0.14829461
tokio,0010km_0395U_1266R,35.525185,139.6864,0.16439955
tokio,0010km_0398U_1263R,35.794403,139.82674,0.1709993
tokio,0010km_0396U_1263R,35.614758,139.52661,0.1812161
tundra,0010km_0778U_0268R,69.92477,70.09484,0.12105738
tundra,0010km_0779U_0266R,70.014755,69.87775,0.12314063
tundra,0010km_0780U_0265R,70.1044,69.921036,0.13090011
tundra,0010km_0779U_0267R,70.01435,70.14044,0.14117321
tundra,0010km_0777U_0269R,69.83463,70.051155,0.17309861
tundra,0010km_0778U_0267R,69.924576,69.833244,0.18301985
tundra,0010km_0781U_0264R,70.19403,69.9647,0.1972159
tundra,0010km_0780U_0266R,70.10392,70.18486,0.2120676
tundra,0010km_0776U_0270R,69.74502,70.00787,0.25510353
tundra,0010km_0777U_0268R,69.83491,69.7907,0.2665724
